company,address,address2,city,state,scf,zip,zip4,mailscore,sic1code,sic1,sic2code,sic2,sic3code,sic3,sic4code,sic4
JTS FINAL FRONTR COMIC BK SP,105 N MAPLE ST,,MURFREESBORO,TN,371,37130,3524,4,51929905,COMIC BOOKS,59999900,,54110000,GROCERY STORES,,
FICTION ADDICTION COMICS-TOYS,113 GAY ST,,ERWIN,TN,376,37650,1227,3,59429905,COMIC BOOKS,,,,,,
EVERMORE COMICS CARDS & GAMES,1139 N EASTMAN RD,,KINGSPORT,TN,376,37664,3156,3,59429905,COMIC BOOKS,27210000,PERIODICALS,59450000,"HOBBY, TOY, AND GAME SHOPS",,
PURGATORY COMICS & GAMES,114 W MAIN ST,,MORRISTOWN,TN,378,37814,4629,3,59429905,COMIC BOOKS,,,,,,
FARLEYS COMICS,1234 COMMERCE ST,,CLARKSVILLE,TN,370,37040,3521,3,59429905,COMIC BOOKS,,,,,,
SCOOTERS HOUSE OF COLLECTIBLES,140 ALGONQUIN CIR,,CHUCKEY,TN,376,37641,5078,3,59429905,COMIC BOOKS,,,,,,
BLACKTHORN,1430 HIGHWAY 70 E,,DICKSON,TN,370,37055,2220,3,27590603,SCREEN PRINTING,59429905,COMIC BOOKS,,,,
COMIX CITY TOO,1574C GALLATIN PIKE N,,MADISON,TN,371,37115,2124,3,59429905,COMIC BOOKS,59429905,COMIC BOOKS,59320300,"BOOK STORES, SECONDHAND",,
MOUNTAIN TOP COMICS & CLLCTBLS,1683 S JEFFERSON AVE STE E,,COOKEVILLE,TN,385,38506,2518,3,59429905,COMIC BOOKS,59470000,"GIFT, NOVELTY, AND SOUVENIR SHOP",,,,
COMICS UNIVERSE,1869 HIGHWAY 45 BYP,,JACKSON,TN,383,38305,2464,4,59429905,COMIC BOOKS,59320300,"BOOK STORES, SECONDHAND",,,,
DOWNTOWN COMICS,2 E 1ST ST,,COOKEVILLE,TN,385,38501,2598,4,59429905,COMIC BOOKS,,,,,,
OUTER LIMITS COMICS,209 S ROYAL OAKS BLVD STE 116,,FRANKLIN,TN,370,37064,1309,3,59429905,COMIC BOOKS,,,,,,
COMIC CONNECTION 2,2128 FORT CAMPBELL BLVD STE A,,CLARKSVILLE,TN,370,37042,5783,3,59420000,BOOK STORES,59429905,COMIC BOOKS,,,,
ATOMIK COMIKS,213 E MAIN ST,,JOHNSON CITY,TN,376,37604,5707,3,59429905,COMIC BOOKS,,,,,,
BIG DS SPORTS CARDS & COMICS,250 LITTLE RIDGE LN,,GAINESBORO,TN,385,38562,5964,3,59479903,,59429905,COMIC BOOKS,,,,
RICKS COMIC CITY,2710 OLD LEBANON RD STE 3,,NASHVILLE,TN,372,37214,2149,3,59429905,COMIC BOOKS,,,,,,
